Language,Count
JavaScript,16.01231584
Python,9.775379176
Java,7.996259852
C++,4.824631028
PHP,4.718008796
Go,4.090877312
Ruby,3.126842953
C,3.030740717
C#,2.646574569
TypeScript,2.559733653
Bash,1.680280683
Objective-C,1.451101352
Swift,1.188293474
Scala,0.6465167452
Rust,0.5784753478
CoffeeScript,0.4479086598
Kotlin,0.4090907159
Lua,0.3592008696
Haskell,0.33380853
Dart,0.2818288088
Perl,0.2710328256
Clojure,0.2412880036
Lisp,0.2205469778
Groovy,0.201978497
R,0.1825834281
Vim,0.1594720234
PowerShell,0.148983482
Elixir,0.1482068194
Erlang,0.1284549833
OCaml,0.125545832
MATLAB,0.09841683146
Julia,0.08374321522
F#,0.06285942832
