,C,Clojure,CoffeeScript,C++,C#,Dart,Erlang,Elixir,F#,Go,Groovy,Haskell,Java,Julia,JavaScript,Kotlin,Lisp,Lua,Objective-C,MATLAB,OCaml,PHP,Perl,PowerShell,Python,R,Ruby,Rust,Scala,Bash,Swift,TypeScript,Vim
C,1,0.2683182135380321,0.21249127704117232,0.4141660851360781,0.3269364968597348,0.2428471737613398,0.18527564549895326,0.2683182135380321,0.2609909281228192,0.3108862526168876,0.24808094905792044,0.15736217725052337,0.28227494766224703,0.26936496859734826,0.31786461967899515,0.32344731332868104,0.296231681786462,0.3126308443824145,0.2665736217725052,0.27983251919050944,0.2547103977669225,0.34019539427773904,0.15457083042568043,0.296231681786462,0.2648290300069783,0.24180041870202373,0.21842288904396367,0.2857641311933008,0.26308443824145145,0.31228192602930915,0.34019539427773904,0.30914166085136074,0.3014654570830426
Clojure,0.2683182135380321,1,0.2964352720450282,0.30855351545006715,0.2935483870967742,0.24640400250156347,0.23903818953323908,0.2741545893719807,0.2489055659787367,0.25743129556926525,0.3458411507191995,0.22013758599124456,0.27884615384615385,0.2914321450906817,0.3035516093229744,0.30178474851270953,0.35124153498871336,0.268760907504363,0.2682158330051201,0.28767979987492187,0.27454659161976236,0.28764705882352937,0.21138211382113825,0.2922636103151862,0.3552220137585991,0.26961394769613944,0.2870544090056285,0.30363864491844417,0.21763602251407133,0.2664165103189493,0.32451815329448674,0.2590293453724605,0.35497605109100583
CoffeeScript,0.21249127704117232,0.2964352720450282,1,0.26824899238692346,0.2737903225806452,0.3928571428571429,0.20827439886845822,0.24879227053140096,0.3238598810310641,0.29949523275378576,0.42198868229587716,0.24817518248175185,0.2434615384615385,0.30756843800322065,0.4039955604883463,0.3699296917252569,0.2501128668171557,0.37696335078534027,0.2465537613233556,0.2671063478977741,0.3423874195854182,0.36411764705882355,0.24726277372262773,0.3673352435530086,0.46351931330472107,0.3667496886674969,0.4251824817518248,0.2726892513592639,0.4298356510745891,0.33311518324607325,0.33886149708650826,0.44638826185101577,0.36721660457690264
C++,0.4141660851360781,0.30855351545006715,0.26824899238692346,1,0.3979838709677419,0.3336318853560233,0.23408769448373412,0.27294685990338163,0.3206448723690103,0.3152709359605911,0.32915360501567403,0.18271383788625173,0.3715384615384615,0.3130317957904165,0.40349305866547247,0.3918495297805643,0.27004030452306316,0.3372145096283027,0.3438361559669161,0.31258396775638153,0.2915360501567398,0.38513210927004027,0.18540080609046128,0.3887147335423198,0.33766233766233766,0.28884908195253023,0.27541424093148226,0.342116269343371,0.3081056874160323,0.3842364532019704,0.4030452306314375,0.4043887147335423,0.35960591133004927
C#,0.3269364968597348,0.2935483870967742,0.2737903225806452,0.3979838709677419,1,0.3213709677419355,0.2241867043847242,0.24154589371980673,0.3193548387096774,0.3326612903225806,0.3100806451612903,0.1689516129032258,0.3665384615384616,0.2911290322580645,0.3983870967741936,0.44314516129032255,0.3004032258064516,0.32741935483870965,0.3139031114612052,0.2870967741935484,0.2818548387096774,0.33951612903225803,0.18104838709677418,0.3637096774193549,0.3153225806451613,0.28548387096774197,0.2451612903225806,0.34395161290322585,0.33951612903225803,0.3431451612903226,0.41814516129032253,0.40846774193548385,0.33225806451612905
Dart,0.2428471737613398,0.24640400250156347,0.3928571428571429,0.3336318853560233,0.3213709677419355,1,0.2259547383309759,0.2628824476650563,0.3139458030403173,0.34997195737521036,0.30793650793650795,0.2603174603174603,0.3423076923076923,0.2857142857142857,0.4034406215316315,0.3948080043266631,0.24920993227990973,0.35020360674810935,0.33359590389917293,0.3055555555555556,0.31736954967834163,0.3429411764705882,0.28095238095238095,0.402865329512894,0.3912698412698413,0.31257783312577836,0.3595238095238096,0.3090757005437056,0.3647281921618205,0.32722513089005234,0.3411026445540116,0.4373589164785553,0.3086748270356573
Erlang,0.18527564549895326,0.23903818953323908,0.20827439886845822,0.23408769448373412,0.2241867043847242,0.2259547383309759,1,0.2676803394625177,0.2294908062234795,0.24717114568599718,0.22277227722772275,0.16902404526166903,0.2008486562942009,0.2418670438472419,0.24752475247524752,0.24080622347949077,0.2429278642149929,0.2588401697312589,0.19801980198019797,0.23550212164073547,0.24045261669024043,0.2616690240452617,0.1474540311173974,0.25318246110325315,0.23727015558698727,0.23620933521923626,0.21393210749646396,0.21994342291371993,0.23019801980198018,0.23620933521923626,0.2358557284299858,0.23727015558698727,0.26202263083451205
Elixir,0.2683182135380321,0.2741545893719807,0.24879227053140096,0.27294685990338163,0.24154589371980673,0.2628824476650563,0.2676803394625177,1,0.29549114331723025,0.2975040257648953,0.29589371980676327,0.1839774557165862,0.24423076923076925,0.30837359098228667,0.3063607085346216,0.29911433172302737,0.27294685990338163,0.3538647342995169,0.22095313115399762,0.3091787439613527,0.2870370370370371,0.3401771336553945,0.16344605475040253,0.3128019323671497,0.2971014492753623,0.2745571658615137,0.26771336553945246,0.24315619967793878,0.27657004830917875,0.30797101449275366,0.2741545893719807,0.30434782608695654,0.3317230273752013
F#,0.2609909281228192,0.2489055659787367,0.3238598810310641,0.3206448723690103,0.3193548387096774,0.3139458030403173,0.2294908062234795,0.29549114331723025,1,0.29332585530005606,0.34038334434897555,0.24785194976867153,0.29500000000000004,0.3436880370125578,0.316315205327414,0.34559221200649004,0.27674943566591426,0.31937172774869105,0.29105947223316264,0.3251817580964971,0.3522802379378718,0.28470588235294114,0.2200925313945803,0.34269340974212037,0.3959021810971579,0.27085927770859275,0.30270984798413747,0.3065662902551234,0.2718078381795196,0.30301047120418845,0.32003585835948,0.30925507900677196,0.31612559872272483
Go,0.3108862526168876,0.25743129556926525,0.29949523275378576,0.3152709359605911,0.3326612903225806,0.34997195737521036,0.24717114568599718,0.2975040257648953,0.29332585530005606,1,0.3090297251822771,0.22321929332585533,0.33499999999999996,0.39147504206393724,0.2869034406215316,0.32179556517036234,0.28442437923250563,0.3825014021312395,0.34029145332808197,0.4049355019629838,0.27593942793045434,0.31407739764441955,0.2439708356702187,0.3000560852495794,0.3421200224340998,0.2501402131239484,0.26808749298934376,0.28858218318695106,0.2938867077958497,0.3252944475602917,0.3218287763334827,0.31575995513180033,0.2847259180415115
